bowling_team,match_id,total
CSK,318.0,147.0
DC,209.0,150.0
DD,317.0,152.0
GL,380.0,187.0
KKR,311.0,141.0
KTK,260.0,145.0
KXIP,317.0,162.0
MI,308.0,156.0
PW,359.0,198.0
RPS,313.0,152.0
RR,328.0,142.0
SRH,472.0,165.0
